2026-07-21 16:59:18 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 16:59:28 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 16:59:49 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 3 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 16:59:50 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=Power+Platform+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:00:00 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=Power+Platform+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:00:20 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 3 for URL: https://www.indeed.com/jobs?q=Power+Platform+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:00:22 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=Power+BI+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:00:32 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=Power+BI+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:00:52 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 3 for URL: https://www.indeed.com/jobs?q=Power+BI+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:03:40 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:03:50 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:04:10 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 3 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:08:22 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:08:33 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:08:53 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 3 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&fromage=1&sort=date

2026-07-21 17:12:08 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 1 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&sort=date

2026-07-21 17:12:18 | WARNING  | app.scraper.indeed_scraper:_scrape_search_page:379 | Indeed block detected on attempt 2 for URL: https://www.indeed.com/jobs?q=SharePoint+developer&l=remote&start=0&sort=date

